2.591, 2.501, 0.0901, 32.0631, -0.0002 0.4176, 0.3949 
2.599, 2.509, 0.0899, 32.1529, -0.0002 0.4175, 0.3948 
2.608, 2.518, 0.0906, 32.2436, 0.0008 0.4202, 0.3971 
2.616, 2.526, 0.0905, 32.3341, -0.0001 0.4203, 0.3972 
2.625, 2.534, 0.0912, 32.4253, 0.0007 0.4227, 0.3992 
2.633, 2.542, 0.0908, 32.5161, -0.0004 0.4221, 0.3987 
2.642, 2.551, 0.0914, 32.6075, 0.0006 0.4242, 0.4005 
2.650, 2.559, 0.0909, 32.6984, -0.0005 0.4233, 0.3997 
2.659, 2.568, 0.0914, 32.7898, 0.0005 0.4253, 0.4014 
2.667, 2.576, 0.0909, 32.8807, -0.0005 0.4244, 0.4006 
2.676, 2.585, 0.0914, 32.9721, 0.0005 0.4264, 0.4023 
2.685, 2.593, 0.0919, 33.0640, 0.0005 0.4284, 0.4039 
2.693, 2.602, 0.0914, 33.1555, -0.0005 0.4274, 0.4032 
2.702, 2.610, 0.0919, 33.2474, 0.0005 0.4293, 0.4047 
2.711, 2.619, 0.0924, 33.3397, 0.0005 0.4310, 0.4062 
2.719, 2.627, 0.0922, 33.4319, -0.0002 0.4309, 0.4061 
2.728, 2.636, 0.0925, 33.5244, 0.0004 0.4325, 0.4074 
2.737, 2.644, 0.0929, 33.6173, 0.0003 0.4339, 0.4086 
2.746, 2.653, 0.0931, 33.7104, 0.0003 0.4352, 0.4096 
2.755, 2.662, 0.0933, 33.8037, 0.0002 0.4362, 0.4105 
2.764, 2.671, 0.0935, 33.8972, 0.0001 0.4371, 0.4112 
2.773, 2.679, 0.0935, 33.9907, 0.0001 0.4378, 0.4118 
2.782, 2.688, 0.0936, 34.0843, 0.0000 0.4384, 0.4123 
2.791, 2.697, 0.0936, 34.1779, -0.0000 0.4389, 0.4128 
2.800, 2.706, 0.0935, 34.2714, -0.0000 0.4395, 0.4132 
2.809, 2.715, 0.0935, 34.3649, 0.0000 0.4401, 0.4137 
2.818, 2.724, 0.0936, 34.4585, 0.0000 0.4407, 0.4142 
2.827, 2.733, 0.0942, 34.5528, 0.0007 0.4430, 0.4162 
2.836, 2.742, 0.0943, 34.6470, 0.0000 0.4435, 0.4166 
2.845, 2.751, 0.0942, 34.7412, -0.0000 0.4440, 0.4170 
2.854, 2.760, 0.0942, 34.8354, -0.0001 0.4444, 0.4173 
2.863, 2.769, 0.0941, 34.9295, -0.0001 0.4449, 0.4177 
2.873, 2.778, 0.0951, 35.0246, 0.0010 0.4481, 0.4203 
2.882, 2.787, 0.0950, 35.1196, -0.0001 0.4483, 0.4205 
2.891, 2.796, 0.0949, 35.2145, -0.0002 0.4484, 0.4206 
2.901, 2.805, 0.0957, 35.3102, 0.0008 0.4512, 0.4229 
2.910, 2.814, 0.0954, 35.4056, -0.0002 0.4509, 0.4227 
2.920, 2.824, 0.0961, 35.5017, 0.0007 0.4534, 0.4247 
2.929, 2.833, 0.0955, 35.5972, -0.0005 0.4523, 0.4238 
2.939, 2.842, 0.0961, 35.6933, 0.0006 0.4545, 0.4256 
2.948, 2.852, 0.0956, 35.7889, -0.0005 0.4537, 0.4249 
2.957, 2.861, 0.0962, 35.8851, 0.0005 0.4558, 0.4267 
2.967, 2.871, 0.0967, 35.9818, 0.0005 0.4577, 0.4282 
2.976, 2.880, 0.0962, 36.0779, -0.0005 0.4568, 0.4274 
2.986, 2.890, 0.0966, 36.1745, 0.0004 0.4586, 0.4289 
2.996, 2.899, 0.0970, 36.2715, 0.0004 0.4602, 0.4303 
3.005, 2.909, 0.0964, 36.3679, -0.0006 0.4590, 0.4293 
3.015, 2.918, 0.0967, 36.4646, 0.0004 0.4607, 0.4307 
3.025, 2.928, 0.0971, 36.5618, 0.0004 0.4623, 0.4319 
3.035, 2.938, 0.0976, 36.6593, 0.0004 0.4639, 0.4333 
3.045, 2.947, 0.0978, 36.7572, 0.0003 0.4652, 0.4343 
3.054, 2.957, 0.0970, 36.8542, -0.0008 0.4636, 0.4330 
